id,project_id,keyword
224,1000,qualitative methods
225,1000,interview
226,1000,document analysis
227,1001,"dementia, masculinity, stigma, help seeking, older Nigerian men"
228,1003,Qualitative
229,1003,In-depth interview
230,1003,General population
231,1003,Latrine use
232,1003,Toilets
233,1003,BCC
234,1006,negative externalities
235,1006,sanctions
236,1006,United Nations
237,1006,Qualitative Comparative Analysis
238,1006,QCA
239,1006,unintended consequences
240,1007,"International Monetary Fund; agriculture; Washington Consensus; development; text-mining, content analysis"
241,1008,parent-infant relationship
242,1008,attachment
243,1008,infant mental health
244,1009,COVID-19
245,1010,fake news
246,1012,"energy access, appliance choices, gender, gender disaggregated data, user values, user needs, Nigeria, Western Africa, rural, peri-urban"
247,1013,Quantitative
248,1013,Evaluation
249,1013,Cross-sectional
250,1013,Reproductive health
251,1013,WRA
252,1013,Modern contraception use
253,1013,IPC
254,1013,LAD
255,1016,liability of newness
256,1016,enterprise configuration
257,1016,post-incubation
258,1016,organizational survival
259,1016,fsQCA
260,1017,Entrepreneur
261,1017,Qualitative Research
262,1019,Qualitative
263,1019,In-depth interviews
264,1019,FSW
265,1019,Men
266,1019,HIV
267,1019,Condom use
268,1019,Condoms
269,1019,BCC
270,1019,KfW
271,1020,"Resilience, Helene, Hurricane, Interview, Power Outage, Power Restoration"
272,1023,"Solid waste, policy, waste management, environmental protection, pollution"
273,1026,Mixed-methods research
274,1026,Exploratory sequential design
275,1026,Semi-structured decisions
276,1026,Legal informatics
277,1026,Explainable AI
278,1029,Mixed-methods research
279,1029,Semi-structured decisions
280,1029,Legal informatics
281,1029,Explainable AI
282,1030,gender
283,1030,knowledge
284,1030,dynamics
285,1032,"enhanced standard analysis (ESA), necessary conditions, Qualitative Comparative Analysis (QCA), standards of good practice, theory guided enhanced standard analysis (TESA)"
286,1036,Qualitative
287,1036,Focus group
288,1036,In-depth interview
289,1036,BCC
290,1036,MARPs
291,1036,HIV risk behaviors
292,1036,USAID
293,1037,Qualitative
294,1037,FoQus
295,1037,HIV/AIDS
296,1037,Men
297,1037,VMC
298,1037,BCC
299,1037,USAID
300,1037,DFID
301,1037,Gates Foundation
302,1038,Sexually transmitted infections
303,1038,Electronic partner notification
304,1038,Partner services
305,1038,Qualitative research
306,1038,Epidemiology
307,1038,Contact tracing
308,1042,Qualitative
309,1042,Focus group
310,1042,Pretesting
311,1042,Nutrition
312,1042,Caregivers
313,1042,Micronutrient
314,1042,BCC
315,1044,Qualitative
316,1044,FoQus
317,1044,In-depth interview
318,1044,HIV/AIDS
319,1044,Risk behaviors
320,1044,Men
321,1044,WRA
322,1044,DFID
323,1044,DUTCH
324,1044,KfW
325,1044,BCC
326,1045,cognitive training
327,1047,Qualitative study
328,1047,In-depth interviews
329,1047,Men and Women
330,1047,HIV/AIDS
331,1047,Condom use
332,1047,BCC
333,1047,"USAID, DFID"
334,1048,Malaria
335,1048,Qualitative
336,1048,General population
337,1048,USAID
338,1048,BCC
339,1048,LLIN
340,1048,LLIN Use
341,1049,Qualitative
342,1049,Reproductive health
343,1049,WRA
344,1049,Modern contraceptive use
345,1049,Long-term methods
346,1049,BCC
347,1049,DFID
348,1050,"Information literacy, Health records, Health Awareness, Medical ID, Egyptians Awareness, Smartphones Features."
349,1051,"public opinion, climate change, mitigation, Norway"
350,1052,Qualitative
351,1052,In-depth interview
352,1052,Focus group
353,1052,Diarrhea
354,1052,Household water treatment use
355,1052,Caregivers
356,1052,UNICEF
357,1052,DFID
358,1052,BCC
359,1052,IPC
360,1053,"Anaemia in pregnancy, intravenous iron infusion; maternal and child health; Malawi"
361,1054,Cell
362,1054,cell
363,1055,"Medicine quality, Substandard medicine, Falsified medicine, Counterfeit medicine, political economy, China, Indonesia, Turkey, Romania, Pharmaceutical market, Health systems, Universal Health Coverage"
364,1056,Qualitative
365,1056,In-depth interviews
366,1056,HIV
367,1056,MSM
368,1056,Condom use
369,1056,Condoms
370,1056,BCC
371,1057,Qualitative
372,1057,HTC
373,1057,ANC
374,1057,Women
375,1057,Men
376,1057,HIV/AIDS
377,1057,USAID
378,1057,BCC
379,1058,leadership departure
380,1058,leadership selection
381,1058,party congresses
382,1058,party primaries
383,1058,QCA
384,1058,Western Europe
385,1060,Language development delay
386,1061,Empowering Local Culture-Based Tourism Villages
387,1063,"Patient Safety, dental school"
388,1065,HIV
389,1065,Adolescent
390,1065,Young adult
391,1065,Peer mentoring
392,1066,Qualitative
393,1066,In-depth interviews
394,1066,Reproductive health
395,1066,PLHIV
396,1066,Cervical cancer screening
397,1066,BCC
398,1066,DFID
399,1073,Stakeholder engagement
400,1073,portable sequencing
401,1073,diesease outbreak
402,1074,"science-policy interface, fuzzy-set Qualitative Comparative Analysis, National Estuary Program, boundary organizations, epistemic communities, stakeholder collaboration, environmental governance."
403,1075,Gender norms
404,1075,HIV testing
405,1075,Antiretroviral therapy
406,1075,Adherence
407,1075,Disclosure
408,1075,Couple communication
409,1078,interactive qualitative analysis (IQA)
410,1078,qualitative research
411,1078,inductive methods
412,1078,research methods
413,1078,methodology
414,1080,Hub and Spoke
415,1080,Supportive supervision
416,1080,Pharmacist
417,1080,Patent and Proprietary Medicine Vendors (PPMVs)
418,1080,Theoretical Framework for Acceptability (TFA)
419,1081,Qualitative
420,1081,In-depth interview
421,1081,Malaria
422,1081,Caregivers
423,1081,LLIN
424,1081,BCC
425,1081,Global Fund
426,1083,united nations
427,1083,qualitative comparative analysis
428,1083,QCA
429,1083,international organizations
430,1083,international bureaucracy
431,1084,data policies
432,1084,data sharing
433,1084,social science
434,1084,academic journals
435,1085,comparative analysis
436,1085,generative artificial intelligence
437,1085,qualitative research
438,1085,SDG 5
439,1086,Sexual recovery
440,1087,Qualitative
441,1087,FoQus
442,1087,In-depth interview
443,1087,Reproductive Health
444,1087,Modern contraceptive use
445,1087,WRA
446,1087,BCC
447,1087,USAID
448,1088,Consanguinity
449,1089,FoQus
450,1089,Qualitative
451,1089,Diarrhea
452,1089,Caregivers
453,1089,Household water treatment
454,1089,USAID
455,1092,Mixed methods
456,1092,In-depth interview
457,1092,LQAS
458,1092,Reproductive health
459,1092,Providers
460,1092,Medicated abortion
461,1092,Medical detailing
462,1092,Provider training
463,1093,Qualitative
464,1093,In-depth interview
465,1093,Reproductive health
466,1093,WRA
467,1093,Modern contraceptive use
468,1093,Short-term methods
469,1093,BCC
470,1094,"medicine quality, falsified medicine, substandard medicine, Indonesia, vaccines, JKN"
471,1095,Qualitative
472,1095,In-depth interview
473,1095,HIV
474,1095,Men
475,1095,BCC
476,1095,HIV/STI testing
477,1095,HTC
478,1097,Qualitative
479,1097,FoQus
480,1097,In-depth interview
481,1097,Women
482,1097,Reproductive health
483,1097,Clean Delivery Kit
484,1097,ANC
485,1097,BCC
486,1101,data sharing
487,1101,malaria
488,1101,information sciences
489,1101,WorldWide Antimalarial Resistance Network
490,1101,WWARN
491,1104,Qualitative
492,1104,In-depth interview
493,1104,Reproductive health
494,1104,BCC
495,1104,General population
496,1104,Modern contraceptive use
497,1104,Long term methods
498,1105,intrastate conflicts
499,1105,peace agreements
500,1105,post-conflict transitions
501,1105,peacebuilding
502,1105,fsQCA
503,1106,Qualitative
504,1106,In-Depth Interview
505,1106,Focus group
506,1106,GBV
507,1106,Women
508,1106,Referral uptake
509,1106,BCC
510,1106,IPC
511,1106,DFID
512,1107,Evaluation
513,1107,Qualitative
514,1107,In-depth interview
515,1107,Malaria
516,1107,Youth
517,1107,Caregivers
518,1107,BCC
519,1107,Save the Children
520,1108,agroecology
521,1108,biodiversity
522,1108,climate resilience
523,1108,sustainable agriculture
524,1108,soil quality
525,1108,species diversity
526,1108,land tenure
527,1108,income
528,1108,productivity
529,1108,pesticides
530,1108,pest management
531,1108,women's empowerment
532,1108,decision making
533,1108,credit
534,1108,leadership
535,1108,food insecurity
536,1108,dietary diversity
537,1108,dietary assessment
538,1108,Africa
539,1108,Food Environment & Consumer Behavior
540,1111,Qualitative
541,1111,In-depth interview
542,1111,HIV
543,1111,PLHIV
544,1111,Referral uptake
545,1111,BCC
546,1111,CDC
547,1113,"FoQus, multiple concurrent partnerships, MCP"
548,1114,Criminal Justice Data
549,1115,Qualitative
550,1115,In-depth interview
551,1115,HIV/AIDS
552,1115,IDU
553,1115,HIV risk behaviors
554,1115,BCC
555,1115,Global Fund
556,1119,QCA
557,1119,qualitative comparative analysis
558,1119,set-theoretic methods
559,1119,research methods
560,1120,work ability
561,1121,Comparative case studies
562,1121,Synthetic control method
563,1121,Difference-in-differences
564,1121,German reunification
565,1121,Matches
566,1122,Qualitative data for Chapter 4
567,1123,Qualitative
568,1123,Focus groups
569,1123,Pre-testing
570,1123,BCC
571,1123,General population
572,1123,HIV
573,1123,Condom use
574,1123,Condoms
575,1124,Asylum Evaluation
576,1125,Qualitative
577,1125,Ethnographic methods
578,1125,Diarrhea
579,1125,Household water treatment
580,1125,General population
581,1125,BCC
582,1125,USAID
583,1126,Quantitative
584,1126,TRaC
585,1126,Modern contraceptive use
586,1126,WRA
587,1126,Reproductive health
588,1126,BCC
589,1126,"USAID, KfW"
590,1128,adaptive management
591,1128,environmental monitoring
592,1128,evidence-based conservation
593,1128,structured decision-making
594,1128,practice theory
595,1128,pragmatist philosophy
596,1128,relational thinking
597,1128,science-policy interface
598,1128,applied ecology
599,1129,family planning
600,1129,Pre-Exposure Prophylaxis (PrEP)
601,1129,integration
602,1129,HIV prevention
603,1129,integrated services
604,1129,sub-Saharan Africa
605,1130,"artificial intelligence governance, Arab world, MENA, AI policy, fuzzy-set QCA, panel data, AI readiness, e-government, data protection"
606,1133,"Heritage breeds, Indigenous cattle, Pastoralists, Deccan Plateau, Indigenous technical knowledge (ITK)"
607,1135,Qualitative
608,1135,In-depth interview
609,1135,HIV/AIDS
610,1135,HIV risk behaviors
611,1135,General population
612,1135,BCC
613,1136,Comparative Cybersecurity
614,1136,Americas
615,1136,QCA
616,1136,Global Cybersecurity Index
617,1136,Civil military relations
618,1137,HIV; South Africa; Uganda; antiretroviral therapy; delivery of healthcare; quality of healthcare
619,1138,"code system, frequency, CMB"
620,1139,"education, medical"
621,1140,Qualitative
622,1140,In-depth interview
623,1140,Reproductive health
624,1140,Modern contraceptive use
625,1140,Long-term methods
626,1140,WRA
627,1140,BCC
628,1141,Education
629,1143,family planning
630,1143,contraception
631,1143,Emergency Contraception
632,1144,Physical Therapy Clinical Education
633,1145,Feed
634,1145,Feed value chain
635,1145,Carp feed
636,1145,Bangladesh
637,1161,environmental conflicts
638,1164,Gender equality
639,1164,School sponsorship.
640,1165,Agriculture
641,1165,Research
642,1165,Development
643,1165,Climate Change
644,1165,CGIAR
645,1165,Food Security
646,1166,Agriculture
647,1166,CGIAR
648,1166,Research
649,1166,Development
650,1166,Climate Change
651,1166,Food Security
652,1167,museum governance
653,1167,professional ethics
654,1167,organisational decision-making
655,1177,Insect-based
656,1177,Insect-based pet-food
657,1177,Insect-based feed
658,1177,Public opinion
659,1178,Caregiving
660,1180,"Heterosexual men, fishing communities; Kenya; ART medication adherence; masculinity"
661,1182,family planning
662,1182,PrEP
663,1182,service integration
664,1182,Kenya
665,1184,caqdas
666,1185,audience costs
667,1187,thematic analysis
668,1187,dissertation
669,1187,sex education
670,1188,Social sciences
671,1194,oocyte
672,1197,Urban sustainability
673,1198,"Food Safety, Ethiopia"
674,1200,media ecology
675,1201,"QCA, case studies, R, fuzzy sets"
676,1203,gender
677,1203,women
678,1203,empowerment
679,1203,women empowerment
680,1204,Chronic kidney disease
681,1207,Early Childhood Education
682,1207,Refugee populations
683,1207,Mass Media Program
684,1207,Social and Emotional Learning
685,1208,Quantitative
686,1208,TRaC
687,1208,BCC
688,1208,HIV
689,1208,HIV/STI testing
690,1208,General population
691,1208,Global Fund
692,1209,Qualitative
693,1209,PEER
694,1209,HIV
695,1209,FSW
696,1209,Youth
697,1209,Condom use
698,1209,Condoms
699,1209,Abstinence
700,1209,BCC
701,1209,USAID
702,1209,KfW
703,1210,Qualitative
704,1210,PEER
705,1210,HIV
706,1210,Youth
707,1210,Women
708,1210,HIV risk behaviors
709,1210,Cross-generational sex
710,1210,IPC
711,1210,USAID
712,1211,pedagogical simulation
713,1211,Haiti
714,1211,white savior complex
715,1213,rice
716,1213,surveys
717,1213,yield gap
718,1213,qualitative analysis
719,1213,Africa
720,1220,"offense defense balance, artificial intelligence"
721,1221,Configuration approach; Entrepreneurial resilience; Global crisis; National institutions; Institutional Theory
722,1222,Gendered Electoral Financing
723,1225,Pretest
724,1225,Cross-sectional
725,1225,Malaria
726,1225,LLIN
727,1225,LLIN Use
728,1225,Caregivers
729,1225,BCC
730,1229,radical right
731,1229,memory politics
732,1229,sentiment analysis
733,1229,text analysis
734,1229,Germany
735,1231,LLMs
736,1231,political parties
737,1231,policy positions
738,1231,AI
739,1231,text analysis
740,1232,MAP
741,1232,LQAS
742,1232,HIV
743,1232,Condom use
744,1232,Condoms
745,1233,Congress
746,1233,Parties
747,1233,Economic Regulation
748,1233,Inequality
749,1235,gender
750,1235,sexual division of labor
751,1235,organizational processes
752,1235,confection
753,1236,COVID
754,1236,COVID-19
755,1236,Pandemic
756,1236,Infectious disease
757,1236,Ivermectin
758,1236,coronavirus
759,1236,Early Medical Interventions
760,1236,Pre Exposure Prophylaxis
761,1236,sars-cov-2
762,1236,Scientific Misconduct
763,1236,Conflict of Interest
764,1238,adaptation
765,1238,climate change
766,1238,vulnerability
767,1238,gender equality
768,1238,lake victoria
769,1238,fisherfolks
770,1240,human nutrition
771,1240,food and nutrition security
772,1240,fish
773,1240,goal 2 zero hunger
774,1240,goal 14 life below water
775,1240,fish consumption patterns
776,1240,dietary quality
777,1244,"gender and politics, representation, gender quotas, Italy, local politics"
778,1246,"consolidation, democracy, QCA, set-methods"
779,1247,urban stress; wellbeing
780,1248,Survey Design
781,1248,Generative AI
782,1248,ChatGPT
783,1248,Survey Translation
784,1251,Client exit interview
785,1252,Attitudes
786,1252,Behavior
787,1252,Business or Company Management
788,1252,Collaborative Innovation and Invention
789,1252,Creativity
790,1252,Emotions
791,1252,Employee Relationship Management
792,1252,Everyday Work Life
793,1252,Goals and Objectives
794,1252,Groups and Teams
795,1252,Happiness
796,1252,Innovation Leadership
797,1252,Interpersonal Communication
798,1252,Leadership
799,1252,LIWC (Linguistic Inquiry and Word Count)
800,1252,Management Practices and Processes
801,1252,Managerial Roles
802,1252,Management Skills
803,1252,Mission and Purpose
804,1252,Motivation and Incentives
805,1252,Organizational Culture
806,1252,Perception
807,1252,Performance Effectiveness
808,1252,Performance Productivity
809,1252,Psychology
810,1252,Resource Allocation
811,1252,Time Management
812,1252,Trust
813,1252,Working Conditions
814,1253,Quantitative
815,1253,Client exit interview
816,1253,BCC
817,1253,Reproductive health
818,1253,WRA
819,1253,Modern contraceptive use
820,1253,Long-term methods
821,1253,USAID
822,1255,blockchain
823,1255,ecosystems
824,1256,MAP
825,1256,LQAS
826,1256,HIV
827,1256,Malaria
828,1256,Reproductive health
829,1256,Providers
830,1256,General population
831,1256,Condom use
832,1256,Modern contraceptive use
833,1256,LLIN use
834,1256,Water treatment
835,1256,Condoms
836,1256,LLIN
837,1256,Household water treatment
838,1256,Clean delivery kit
839,1256,Dutch
840,1256,PNMLS
841,1257,processes of stabilization
842,1257,temporary use
843,1257,fsQCA
844,1257,urban regeneration
845,1258,MAP
846,1258,LQAS
847,1258,General population
848,1258,Providers
849,1258,Diarrhea
850,1258,ORS use
851,1258,ORS
852,1259,MAP
853,1259,LQAS
854,1259,HIV
855,1259,STI
856,1259,Malaria
857,1259,Diarrhea
858,1259,Reproductive health
859,1259,STI kit
860,1259,Condoms
861,1259,Short-term methods
862,1259,LLIN
863,1259,ACT
864,1259,Household water treatment
865,1259,Providers
866,1259,BCC
867,1261,"social entrepreneurship, social enterprise, social entrepreneur, process, development"
868,1267,Artificial Intelligence
869,1267,Managerial Decision-Making
870,1267,Human-AI Collaboration
871,1267,Technology Adoption
872,1269,Mixed methods
873,1269,Client exit interview
874,1269,Reproductive Health
875,1269,mHealth
876,1269,General population
877,1269,Short-term methods
878,1274,commodity markets
879,1274,smallholders
880,1274,supply chains
881,1274,market economies
882,1274,Benin
883,1274,supply
884,1274,marketing channels
885,1274,processing
886,1274,retail marketing
887,1274,market access
888,1274,wholesale markets
889,1274,price fixing
890,1274,availability
891,1274,seasonality
892,1274,demand
893,1274,underutilized species
894,1274,Africa
895,1274,Food Environment & Consumer Behavior
896,1275,"Preventive health behaviors, COVID-19, India, RCT"
897,1276,Quantitative
898,1276,LQAS
899,1276,Diarrhea
900,1276,Social franchising
901,1276,General population
902,1276,Water treatment
903,1276,Household water treatment
904,1276,ORS use
905,1276,ORS
906,1276,USAID
907,1277,"Artificial Intelligence, AI, Journalism, AI-Driven Journalism, Media, Future of Journalism, Iran"
908,1280,MAP
909,1280,LQAS
910,1280,General population
911,1280,HIV
912,1280,Diarrhea
913,1280,Reproductive health
914,1280,Condoms
915,1280,Water treatment
916,1280,Modern contraceptive methods
917,1280,USAID
918,1281,MAP
919,1281,LQAS
920,1281,BCC
921,1281,Providers
922,1281,WRA
923,1281,Reproductive health
924,1281,Modern contraceptive use
925,1281,Long-term methods
926,1281,Short-term methods
927,1281,Global Fund
928,1282,COVID-19
929,1282,Community Health Centers
930,1282,Tele-medicine
931,1282,Mixed Methods
932,1283,Qualitative
933,1283,Focus group
934,1283,In-depth interview
935,1283,MARPs
936,1283,HTC
937,1283,BCC
938,1285,Civil wars
939,1285,Foreign fighters
940,1285,Syria
941,1285,Syrian Democratic Forces
942,1285,Terrorism
943,1285,YPG/YPJ
944,1286,MAP
945,1286,HIV
946,1286,Providers
947,1286,General population
948,1286,Condoms
949,1286,KfW
950,1288,Public Engagement
951,1288,School Engagement
952,1288,Participatory video
953,1289,agriculture
954,1289,fisheries
955,1289,livelihoods
956,1289,water governance
957,1289,water governance in food production system
958,1290,Qualitative
959,1290,Focus group
960,1290,HIV/AIDS
961,1290,HIV risk behaviors
962,1290,General population
963,1290,Concurrent partnerships
964,1290,BCC
965,1292,Chinese cybersecurity
966,1292,securitization
967,1292,Totalitarianism
968,1292,National Security
969,1292,Regime Security
970,1293,economic crimes
971,1293,corruption
972,1293,money laundering
973,1293,fraud
974,1293,tax evasion
975,1293,Latin America
976,1293,organized crime
977,1293,transparency
978,1293,FATF
979,1293,UNODC
980,1293,open data
981,1293,reproducible research
982,1293,CPI
983,1293,Argentina
984,1293,Brazil
985,1293,Mexico
986,1293,Colombia
987,1293,Chile
988,1293,Peru
989,1293,United Nations crime statistics
990,1293,Transparency International
991,1293,financial crime
992,1293,Financial Action Task Force
993,1293,AML
994,1293,illicit finance
995,1293,anticorrupción
996,1293,UNODC crime data
997,1293,Transparency International index
998,1293,financial crime statistics
999,1293,FATF compliance
1000,1293,money laundering detection
1001,1293,anticorruption policy
1002,1293,illicit financial flows
1003,1295,Benin
1004,1295,producer organizations
1005,1295,consumers
1006,1295,production
1007,1295,underutilized species
1008,1295,seed
1009,1295,consumption
1010,1295,affordability
1011,1295,seasonal variation
1012,1295,availability
1013,1295,food environment
1014,1295,fonio
1015,1295,Corchorus olitorius
1016,1295,agronomy
1017,1295,value chains
1018,1295,seasonality
1019,1295,Africa
1020,1295,Food Environment & Consumer Behavior
1021,1296,older adults; older people
1022,1296,care homes; nursing homes; long term care facilities
1023,1296,Brazil
1024,1297,Renewable Energy
1025,1297,Japanese politics
1026,1297,Siting
1027,1297,Energy Policy
1028,1299,Economy Tourism
1029,1300,Adam Smith
1030,1301,food production systems
1031,1301,water governance program
1032,1301,irrigation schemes
1033,1301,irrigation data
1034,1302,Qualitative
1035,1302,In-depth interviews
1036,1302,Providers
1037,1302,Provider training
1038,1302,IPC
1039,1304,conjoint experiments
1040,1304,Japan
1041,1304,legacy candidates
1042,1304,political representation
1043,1305,"active learning, media literacy, peer learning, discussions, small groups"
1044,1306,Africa
1045,1306,data demand
1046,1306,data use
1047,1306,enabling environment
1048,1306,health systems strengthening
1049,1306,nutrition
1050,1306,policy process
1051,1307,NATO
1052,1307,gender
1053,1307,gendermainstreaming
1054,1307,1325
1055,1307,women
1056,1307,military
1057,1307,alliance
1058,1307,coalition
1059,1307,adaptation
1060,1308,English language teaching
1061,1308,language teaching
1062,1308,language journal
1063,1308,journal education
1064,1308,Innovation
1065,1308,teacher teaching
1066,1309,Online data
1067,1309,skill demand
1068,1309,text analysis
1069,1309,vacancy market
1070,1309,worker competency
1071,1310,MAP
1072,1310,LQAS
1073,1310,BCC
1074,1310,HIV
1075,1310,General population
1076,1310,Providers
1077,1310,Condom use
1078,1310,Condoms
1079,1310,Global Fund
1080,1310,UNFPA
1081,1313,"Newborn, ventilation, resuscitation,"
1082,1315,"Civil war, Nonstate armed groups, Territorial control, Land concentration, Land inequality, civil war, non-state armed groups, territorial control, land concentration, land inequality"
1083,1316,"interviews, survey, intergroup dialogue, intergroup relations, social justice"
1084,1317,"interviews, survey, intergroup dialogue, intergroup relations, social justice"
1085,1318,Social Resilience
1086,1318,Coastal Fishing Communities
1087,1319,MAP
1088,1319,LQAS
1089,1319,Providers
1090,1319,BCC
1091,1319,HIV
1092,1319,Reproductive health
1093,1319,Diarrhea
1094,1319,Malaria
1095,1319,General population
1096,1319,Condoms
1097,1319,ORS
1098,1319,Water treatment
1099,1319,Modern contraceptive use
1100,1319,LLIN
1101,1319,KfW
1102,1319,PEPFAR
1103,1320,Proliferation
1104,1322,Climate Change  Maternal Health  Mental Health  South India  Public Health Resilience
1105,1323,FoQus
1106,1323,Malaria
1107,1323,LLIN
1108,1323,LLIN Use
1109,1323,Qualitative
1110,1323,Caregivers
1111,1323,Global Fund
1112,1324,Qualitative
1113,1324,Reproductive health
1114,1324,HIV
1115,1324,Indigenous Men and Women
1116,1324,MARPs
1117,1324,"Modern contraceptive use, Condom use"
1118,1324,USAID
1119,1326,clinical informationist
1120,1327,Cohort studies; Pharmacies; Self-directed learning as topic; Students; United Kingdom
1121,1328,Heritage Tourism
1122,1329,Journalism
1123,1329,Communication
1124,1329,Universities
1125,1330,Impact evaluation
1126,1330,Process evaluation
1127,1330,Nigeria
1128,1330,Longitudinal data
1129,1330,Panel data
1130,1330,Enabling country systems
1131,1330,Nutritious food systems
1132,1330,Livestock
1133,1330,Women's empowerment
1134,1330,Household data
1135,1330,Dairy
1136,1330,Value chain development
1137,1330,Agricultural extension
1138,1330,Market linkage facilitation
1139,1330,gender and nutrition behavior change
1140,1330,Gates Foundation
